,Date,HS Code,Product Description,Consignee,Notify Party Name,Shipper,Std. Quantity,Std. Unit,Standard Unit Rate INR,Value,Country of Origin,Country of Destination,Port of Destination,Quantity,Unit,Unit Rate $,Actual Duty,Port of Origin,Shipment Mode,Measurment,Bill of Entry No,Port of Delivery,Container TEU,Freight Term,Marks Number,HS Product Description,Gross Weight,Consignee Address,Shipper Address,Notify Party Address,Country Name
10,2020-03-21 00:00:00,810411,MAGNESIUM INGOT RIO TINTO SERVICE CONTRACT 5861540 PURCHASE ORDER NUMBER 3010372894 XFAX +1(514)288-9161 ,RIO TINTO ALCAN INC,LIVINGSTON INTERNATIONAL INC,SHANXI INT L IMPORT AND EXPORT,40.0,NOS,-,0.0,South Korea,United States,Tacoma,40.0,PCS,-,-,Busan,-,-,,-,0,-,AS PER BUYERS REQUEST HLXU3249386/1- 20/ UACU3522109/ 21-40/ . ,,39699.0,C/O BANDSTRA TRANSPORTATION SYSTEMS9920 RIVER DRIVE RICHMOND BC CANADA V6X 3S3 TEL: 1-604-270-0440; EMAIL:,"CO., LTD.ROOM 21-G, KING OFFICEBUILDING, NO.9 FUXI STR.,TAIYUAN,SHANXI,CHINA   ",DUMMY DUMMY WA 99999 US,USA T3+  Import
11,2020-03-21 00:00:00,810411,MAGNESIUM INGOT 7.5KG NET WEIGHT 163818KGS PO NO. 3010241250 PURCHASE ORDER LINE ITEM BATCH HARMONISED CODE 8104.11.00 MATERIAL 40090900 ,RIO TINTO ALCAN INC,LIVINGSTON INTERNATIONAL INC,SHANXI CREDIT MAGNESIUM CO LTD,128.0,NOS,-,0.0,South Korea,United States,Tacoma,128.0,PCS,-,-,Busan,-,-,,-,0,-,NO MARKS . ,,165866.0,"409-1190, AVENUE DES CANADIENS-|MONTREAL","WEST 9F.,ZHONGJIAN BUILDING, YUDU 
MAIN ROAD,YUNCHENG,SHANXI,CHINA",DUMMY DUMMY WA 99999 US,USA T3+  Import
12,2020-06-07 00:00:00,810411,MAGNESIUM INGOT 7.5KG NET WEIGHT 40149KGS PO NO. 3010612183 PURCHASE ORDER LINE ITEM BATCH HARMONISED CODE 8104.11.00 MATERIAL 40090900 ,RIO TINTO ALCAN INC,LIVINGSTON INTERNATIONAL INC,SHANXI CREDIT MAGNESIUM CO LTD,40.0,NOS,-,0.0,South Korea,United States,Tacoma,40.0,PCS,-,-,Busan,-,-,,-,0,-,NO MARKS . ,,40309.0,"409-1190, AVENUE DES CANADIENS-|MONTREAL","WEST 9F.,ZHONGJIAN BUILDING, YUDU 
MAIN ROAD,YUNCHENG,SHANXI,CHINA",DUMMY DUMMY WA 99999 US,USA T3+  Import
13,2020-06-07 00:00:00,810411,MAGNESIUM INGOT 7.5KG NET WEIGHT 86143KGS PO NO. 3010612185 PURCHASE ORDER LINE ITEM BATCH HARMONISED CODE 8104.11.00 MATERIAL 40090900 ,RIO TINTO ALCAN INC,LIVINGSTON INTERNATIONAL INC,SHANXI CREDIT MAGNESIUM CO LTD,64.0,NOS,-,0.0,South Korea,United States,Tacoma,64.0,PCS,-,-,Busan,-,-,,-,0,-,NO MARKS . ,,86591.0,"409-1190, AVENUE DES CANADIENS-|MONTREAL","WEST 9F.,ZHONGJIAN BUILDING, YUDU 
MAIN ROAD,YUNCHENG,SHANXI,CHINA",DUMMY DUMMY WA 99999 US,USA T3+  Import
14,2020-10-20 00:00:00,81041100,MAGNESIUM INGOT,PT LAUTAN LUAS TBK,,POINTER INVESTEMT HK LTD,25.0,TNE,-,45375.0,China,Indonesia,Tanjung Priok,25.0,TNE,1815,2.5,Xingang,-,-,462049,-,-,-,-,,0.0,"Graha Indramas, Gedung, Jl. Ks. Tubun No.77, RT.14/RW.5, Slipi, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",RM 3408 CHINA MERCHANTS TOWER|SHUN TAK CENTRE 168-200 CONNAUGHT|ROAD CENTRAL 00852 25404489|HONGKONG CN,,Indonesia T3  Import
15,2020-05-26 00:00:00,810411,MAGNESIUM ALLOYHS 810419 ,Z To Order and NA,Z To Order and NA,Z To Order and NA,68.0,NOS,-,0.0,Germany,United States,New York,68.0,PCS,-,-,Germany Ports,-,-,,-,0,-,NO MARKS ,,39400.0,,,,USA T3+  Import
16,2020-06-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,74.834,TON,-,158001.11,Slovenia,Italy,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Slovenia T1  Export
17,2020-06-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,0.0,TON,-,172.22,Germany,Sweden,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
18,2020-07-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,13.157,TON,-,32785.39,Netherlands,United Kingdom,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
19,2020-06-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,192.0,TON,-,424156.67,Croatia,Hungary,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Croatia T1  Export
20,2020-07-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,2.449,TON,-,6194.38,Poland,Czech Republic,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Poland T1  Export
21,2020-07-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,0.04,TON,-,112.36,Hungary,Croatia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Hungary T1  Export
22,2020-07-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,43.764,TON,-,114352.81,Germany,Uzbekistan,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
23,2020-07-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,13.722,TON,-,30034.83,Netherlands,Hungary,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
24,2020-06-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,2.0,TON,-,7932.22,Spain,Brazil,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Spain T1  Export
25,2020-06-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,25.0,TON,-,51944.44,Germany,Italy,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
26,2020-05-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,25.0,TON,-,56491.21,Slovenia,Slovakia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Slovenia T1  Export
27,2020-08-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,390.709,TON,-,868197.65,Netherlands,France,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
28,2020-08-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,2.017,TON,-,9269.41,Germany,Denmark,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
29,2020-08-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,25.0,TON,-,56020.0,Slovenia,Slovakia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Slovenia T1  Export
30,2020-08-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,0.001,TON,-,9.41,Italy,France,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Italy T1  Export
31,2020-09-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,0.008,TON,-,104.76,Denmark,Norway,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Denmark T1  Export
32,2020-09-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,109.245,TON,-,261384.52,Netherlands,Austria,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
33,2020-09-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,1.0,TON,-,1883.33,Netherlands,Switzerland,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
34,2020-09-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,149.231,TON,-,322316.67,Slovenia,Italy,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Slovenia T1  Export
35,2020-09-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,20.31,TON,-,40422.62,Netherlands,Ukraine,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
36,2020-09-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,0.294,TON,-,715.48,Poland,Ukraine,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Poland T1  Export
37,2020-09-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,75.0,TON,-,176755.95,Slovenia,Austria,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Slovenia T1  Export
38,2020-09-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,25.0,TON,-,59166.67,Slovenia,Czech Republic,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Slovenia T1  Export
39,2020-10-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,32.858,TON,-,71074.12,Netherlands,Sweden,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
40,2020-06-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,39.554,TON,-,152173.33,Netherlands,United States,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
41,2020-01-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,4.881,TON,-,10392.13,Italy,Switzerland,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Italy T1  Export
42,2020-04-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,82.481,TON,-,191707.69,Netherlands,United Kingdom,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
43,2020-04-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,24.341,TON,-,59118.68,Netherlands,Spain,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
44,2020-04-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,52.318,TON,-,125303.3,Netherlands,Slovakia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
45,2020-02-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,24.0,TON,-,57875.56,Croatia,Slovakia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Croatia T1  Export
46,2020-01-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,3.442,TON,-,7837.08,Netherlands,Czech Republic,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
47,2020-01-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,0.5,TON,-,4458.43,Spain,Cuba,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Spain T1  Export
48,2020-02-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,50.514,TON,-,93130.0,Netherlands,Italy,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
49,2020-03-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,50.0,TON,-,136263.74,Germany,Slovakia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
50,2020-04-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,174.509,TON,-,386735.16,Slovenia,Italy,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Slovenia T1  Export
51,2020-04-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,24.0,TON,-,57857.14,Croatia,Slovakia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Croatia T1  Export
52,2020-04-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,48.0,TON,-,112045.05,Croatia,Romania,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Croatia T1  Export
53,2020-05-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,25.0,TON,-,64615.38,Germany,Belgium,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
54,2020-05-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,10.494,TON,-,30347.25,Germany,Uzbekistan,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
55,2020-05-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,31.639,TON,-,73329.67,Netherlands,Sweden,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
56,2020-05-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,3.027,TON,-,6612.09,Netherlands,Slovakia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
57,2020-04-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,1.248,TON,-,3189.01,Poland,Hungary,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Poland T1  Export
58,2020-01-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,50.0,TON,-,120870.79,Slovenia,France,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Slovenia T1  Export
59,2020-03-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,76.226,TON,-,197013.19,Germany,Belgium,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
60,2020-03-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,21.819,TON,-,61110.99,Italy,United Kingdom,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Italy T1  Export
61,2020-03-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,0.004,TON,-,138.46,Italy,Latvia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Italy T1  Export
62,2020-03-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,88.717,TON,-,247673.63,Netherlands,Belgium,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
63,2020-03-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,0.505,TON,-,2675.82,Italy,Germany,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Italy T1  Export
64,2020-05-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,0.478,TON,-,1747.25,Italy,Tunisia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Italy T1  Export
65,2020-05-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,0.051,TON,-,14053.85,Denmark,Thailand,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Denmark T1  Export
66,2020-05-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,0.1,TON,-,13500.0,Germany,Japan,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
67,2020-05-01 00:00:00,81041100,"UNWROUGHT MAGNESIUM, CONTAINING >= 99,8% BY WEIGHT OF MAGNESIUM",,,,0.001,TON,-,6.59,Italy,Netherlands,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Italy T1  Export
68,2020-11-11 00:00:00,810411,MAGNESIUM INGOT RIO TINTO SERVICE CONTRACT 5861540 PURCHASE ORDER NUMBER 3011064972 XFAX +1(514)288-9161 ,RIO TINTO ALCAN INC,LIVINGSTON INTERNATIONAL INC,SHANXI INT L IMPORT AND EXPORT,40.0,NOS,-,0.0,,United States,Tacoma,40.0,PCS,-,-,Busan,-,-,,-,0,-,AS PER BUYERS REQUEST CAIU2184315/1- 20/ CAIU2376529/ 21-40/ . ,,39919.0,C/O BANDSTRA TRANSPORTATION SYSTEMS9920 RIVER DRIVE RICHMOND BC CANADA V6X 3S3 TEL: 1-604-270-0440; EMAIL:,"CO., LTD.ROOM 21-G, KING OFFICEBUILDING, NO.9 FUXI STR.,TAIYUAN,SHANXI,CHINA   ",DUMMY DUMMY WA 99999 US,USA T3+  Import
