0,Date,HS Code,Product Description,Consignee,Notify Party Name,Shipper,Std. Quantity,Std. Unit,Standard Unit Rate INR,Value,Country of Origin,Country of Destination,Port of Destination,Quantity,Unit,Unit Rate $,Actual Duty,Port of Origin,Shipment Mode,Measurment,Bill of Entry No,Port of Delivery,Container TEU,Freight Term,Marks Number,HS Product Description,Gross Weight,Consignee Address,Shipper Address,Notify Party Address,Country Name
18420,2021-07-11 00:00:00,74020000,"934-019 # & Ocean electrode (copper bar) used to resist corrosion for ships, EAF anode AA650CU Complete Prod. NO. 100941-s, 100% new goods",STX OSV,,CATHWELL AS,1,NOS,-,1019.70601079016,Norway,Vietnam,O P Vietnam,1,PCE,8790,0,Oslo,-,-,1105212621-0153-105.018-01,-,-,-,-,,4260,"Lot G9, partly Lot G2, G3, G8, the N-1 road, Bao Minh Industrial Park, Vu Ban district, Nam Dinh","POSTBOKS 68, 3993 LANGESUND, NORWAY",,Vietnam T3  Import
18421,2021-10-01 00:00:00,74020000,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING,,,,0,KGS,-,110,United States,Brazil,Not Available,0,KGS,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Brazil T1  Import
18422,2021-12-01 00:00:00,74020000,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING,,,,200,KGS,-,12602,United Kingdom,Brazil,Not Available,200,KGS,-,-,Not Available,-,-,-,-,-,-,-,,200,,,,Brazil T1  Import
18423,2021-07-17 00:00:00,7402000000,COPPER ANODE,MCC NON FERROUS TRADING LTD,,KONKOLA COPPER MINES PLC,16684,KGS,-,20.891,Zambia,Tanzania,Not Available,16684,KGS,0,0,Not Available,-,-,,-,-,-,-,,0,,"KCM NCHANGA PLANT,NCHANGA SMELTER, PRIVATE BAG (C)2000, HARRISON ROAD, KITWE, ZAMBIA.",,Tanzania T3  Import
18424,2021-05-15 00:00:00,7402000000,COPPER ANODE,MCC NON FERROUS TRADING LTD,,KONKOLA COPPER MINES PLC,16684,KGS,-,20.899,Zambia,Tanzania,Not Available,16684,KGS,0,0,Not Available,-,-,,-,-,-,-,,0,,"KCM NCHANGA PLANT,NCHANGA SMELTER, PRIVATE BAG (C)2000, HARRISON ROAD, KITWE, ZAMBIA.",,Tanzania T3  Import
18425,2021-12-17 00:00:00,7402000000,Copper uncéréine; Cui- Vre anodes for electrolytic refining.,Orabank Cote d Ivoire BP Abidjan City South Plateau Bank,,Forma Chart 96 Rue de la ChapelThe 62400 France,0,PNT,-,4957.52,France,Ivory Coast,Not Available,300,PLT,-,-,Le Havre,-,-,-,-,-,-,-,,123,,,,IvoryCoast T3  Import
18426,2021-04-06 00:00:00,7402000000,COPPER ANODE,MCC NON FERROUS TRADING LTD,,KONKOLA COPPER MINES PLC,16684,KGS,-,20.878,Zambia,Tanzania,Not Available,16684,KGS,0,0,Not Available,-,-,,-,-,-,-,,0,,"KCM NCHANGA PLANT,NCHANGA SMELTER, PRIVATE BAG (C)2000, HARRISON ROAD, KITWE, ZAMBIA.",,Tanzania T3  Import
18427,2021-04-30 00:00:00,7402000000,COPPER ANODES,METAL CORP TRADING AG,,KALUMBILA MINERALS LIMTED,30932,KGS,-,21.062,Zambia,Tanzania,Not Available,30932,KGS,0,0,Not Available,-,-,,-,-,-,-,,0,TRADING AG,,,Tanzania T3  Import
18428,2021-02-05 00:00:00,7402000000,COPPER ANODE,MCC NON FERROUS TRADING LTD,,KONKOLA COPPER MINES PLC,16684,KGS,-,20.871,Zambia,Tanzania,Not Available,16684,KGS,0,0,Not Available,-,-,,-,-,-,-,,0,,"KCM NCHANGA PLANT,NCHANGA SMELTER, PRIVATE BAG (C)2000, HARRISON ROAD, KITWE, ZAMBIA.",,Tanzania T3  Import
18429,2021-12-06 00:00:00,7402000000,COPPER ANODES,METAL CORP TRADING AG,,KALUMBILA MINERALS LIMTED,30932,KGS,-,21.224,Zambia,Tanzania,Not Available,30932,KGS,0,0,Not Available,-,-,,-,-,-,-,,0,TRADING AG,,,Tanzania T3  Import
18430,2021-11-09 00:00:00,7402000000,COPPER ANODE,MCC NON FERROUS TRADING LTD,,KONKOLA COPPER MINES PLC,16684,KGS,-,21.033,Zambia,Tanzania,Not Available,16684,KGS,0,0,Not Available,-,-,,-,-,-,-,,0,,"KCM NCHANGA PLANT,NCHANGA SMELTER, PRIVATE BAG (C)2000, HARRISON ROAD, KITWE, ZAMBIA.",,Tanzania T3  Import
18431,2021-10-24 00:00:00,7402000000,COPPER ANODES,METAL CORP TRADING AG,,KALUMBILA MINERALS LIMTED,30932,KGS,-,21.206,Zambia,Tanzania,Not Available,30932,KGS,0,0,Not Available,-,-,,-,-,-,-,,0,TRADING AG,,,Tanzania T3  Import
18432,2021-11-01 00:00:00,7402000000,COPPER ANODE,MCC NON FERROUS TRADING LTD,,KONKOLA COPPER MINES PLC,16684,KGS,-,21.024,Zambia,Tanzania,Not Available,16684,KGS,0,0,Not Available,-,-,,-,-,-,-,,0,,"KCM NCHANGA PLANT,NCHANGA SMELTER, PRIVATE BAG (C)2000, HARRISON ROAD, KITWE, ZAMBIA.",,Tanzania T3  Import
18433,2021-11-09 00:00:00,740200000019,"Anti Fouling System Anotes
* MİLGEM 5 Project Revised VAT List Date and No: 07.01.2021E33633997110.23.99705 Page: 60
VAT Exceptions Sequence No: 7",STM Defense Technologies Engineering Tic A,,INDUSTRIAL MARINE SUPPLIES LTD,2,UNT,-,3271.03,United Kingdom,Turkey,Istanbul,2,UNT,-,-,Not Available,-,-,21341453IM288973,-,-,-,-,Others,0,,,,Turkey T3  Import
18434,2021-08-18 00:00:00,74020001,COPPER ANODES (COPPER ALLOY),REYNOSO INTERNATIONAL SYSTEMS S A DE C V,,REYNOSO INTERNATIONAL SYSTEMS SA,14474.2,KGS,-,438993.72,Mexico,South Korea,Not Available,14474.2,KGS,-,-,Manzanillo,-,-,-,-,-,-,-,ANODOS DE COBRE (COBRE ALEADO),0,,DE C. V. |RISO90120V23|EJE 132# 140- ZONA INDUSTRIAL|SAN LUIS POTOSI MX,,Mexico T3  Export
18435,2021-07-24 00:00:00,74020001,COPPER INGOT-ZN-NI,RESOURCETIE INTERNATIONAL AB,,FALMETS A DE C V,9730,KGS,-,53515,Mexico,China,Not Available,9730,KGS,-,-,Manzanillo,-,-,-,-,-,-,-,LINGOTE DE COBRE-ZN-NI,0,FLYGLEDAREVAGEN 1 TORSLANDA,CONSTITUYENTES DEL 57 COL.FRANCISCO I.MADERO 3513,,Mexico T3  Export
18436,2021-04-15 00:00:00,74020001,COPPER ANODES (COPPER ALLOY),TRAXYS EUROPE SA,,REYNOSO INTERNATIONAL SYSTEMS SA,123022.8,KGS,-,2991956.9,Mexico,Germany,Not Available,123022.8,KGS,-,-,Altamira,-,-,-,-,-,-,-,ANODOS DE COBRE (COBRE ALEADO),0,9-21 ROUTE DARLON L-8009 STRASSEN|LUXEMBOURG ATTN CRISTINA MEDRANO|TEL +34 91 378 9735|VAT LU 13238340,DE C. V. |RISO90120V23|EJE 132# 140- ZONA INDUSTRIAL|SAN LUIS POTOSI MX,,Mexico T3  Export
18437,2021-12-06 00:00:00,74020001,BRASS SHAVING,FRICCION Y TECNOLOGIA SA DE CV,,RIMSAMETALTECHNOLOGY S A,25000,KGS,-,20671.99,Spain,Mexico,Veracruz,25000,KGS,-,-,Not Available,-,-,-,-,-,-,-,VIRUTA DE LATON,3612,FRITEC P22 10 DE MAYO ZN M50 LT 17|MEXICO 09570 MX,ARMENTERES,,Mexico T3  Import
18438,2021-10-06 00:00:00,74020000,"Copper electrode C1100 (KT: 20 x 55 x 500mm) (uncontrollable copper, bar, solid) # & th",BROTHER INDUSTRIES VIETNAM LTD,,TAN BINH TRASER CO LTD,93,UNT,-,569.8,Vietnam,Vietnam,O P Vietnam,93,UNT,113.96,4092725,O P Vietnam,-,-,122100015567256,-,-,-,,,1367.18,"PHUC DIEN INDUSTRIAL ZONE, CAM PHUCCAM GIANG DISTRICT, HAI DUONG PROVIPHONE NO.84-320-545 879 FAX NO.84-3","Lot CN9, Tan Truong Industrial Zone, Cam Giang, Hai Duong",,Vietnam T3  Export
18439,2021-07-21 00:00:00,74020000,"C100 electrode copper (KT: 20 x 65 x 500mm) (uncontrollable copper, bar, solid) # & vn",BROTHER INDUSTRIES VIETNAM LTD,,TAN BINH TRASER CO LTD,99,UNT,-,18753.28,Vietnam,Vietnam,O P Vietnam,99,UNT,161.9,14052309,O P Vietnam,-,-,122100014076088,-,-,-,,,1567.35,"PHUC DIEN INDUSTRIAL ZONE, CAM PHUCCAM GIANG DISTRICT, HAI DUONG PROVIPHONE NO.84-320-545 879 FAX NO.84-3","Lot CN9, Tan Truong Industrial Zone, Cam Giang, Hai Duong",,Vietnam T3  Export
18440,2021-07-21 00:00:00,74020000,"COPERY COPPERATION C1100 (KT: 30 x 50 x 500mm) (Untenenary, bar, solid) # & th",BROTHER INDUSTRIES VIETNAM LTD,,TAN BINH TRASER CO LTD,99,UNT,-,18753.28,Vietnam,Vietnam,O P Vietnam,99,UNT,174.37,14052309,O P Vietnam,-,-,122100014076088,-,-,-,,,1567.35,"PHUC DIEN INDUSTRIAL ZONE, CAM PHUCCAM GIANG DISTRICT, HAI DUONG PROVIPHONE NO.84-320-545 879 FAX NO.84-3","Lot CN9, Tan Truong Industrial Zone, Cam Giang, Hai Duong",,Vietnam T3  Export
18441,2021-03-03 00:00:00,74020000,"Copper anodes, ball shape, diameter 25mm- Copper Anode, new 100% (NLSX electronic circuit boards)",SUN CHING ELECTRONICS VIETNAM CO LTD,,WORLD PRAISE INT L LTD,1000,KGS,-,11660.95,Taiwan,Vietnam,O P Vietnam,1000,KGS,11.661,0,Taipei,-,-,280221ITIHCM2103045,-,-,-,-,,4317,"96 6th Street, Phuoc Kien residential area, Phuoc Kien Commune, Nha Be District, Ho Chi Minh City","NO14, LANE 359, HSIAO CHIEN RD., 4TH LIN, YUNG NING LI, YANG MEI TOWN, TAO YUAN HSIEN, TAIWAN, R.O.C, VN",,Vietnam T3  Import
18442,2021-01-01 00:00:00,74020000,"VC-CKB141-4x4 # & Co unrefined (pigs, long 20cm), used for production, NEW 100%",VULCAN,,GLOBALMART CO LTD,1000,KGS,-,8850,Taiwan,Vietnam,O P Vietnam,1000,KGS,8.85,0,Taichung,-,-,2712202HCC8AC0883075-01,-,-,-,-,,12772,"Lands for F-8A, Nomura Industrial Zone-Hai Phong, An Duong district, Hai Phong City, Vietnam","3 ROAD FLOOR FA YUEN COMERCIA, COMERCIAL BUILDING, 75-77 FA YUEN STREET, MONGKOK KOWLOON- HONGKONG, HK",,Vietnam T3  Import
18443,2021-01-01 00:00:00,74020000,"Electrode copper C1100 (kt: 20 x 20 x 500mm) (unrefined copper, rods, specialty)",BIVN,,CONG TY TNHH THUONG MAI VA DICH VU TANG MINH PHAT,5,UNT,-,147.5,East Timor,Vietnam,O P Vietnam,5,UNT,29.5,0,O P Vietnam,-,-,112100008683562,-,-,-,-,,1243.4,"Lot CN9, IPs Thach - Quoc Oai, Phung Xa Commune, Thach That District, Ha Noi","119 QUOC HUONG, PHUONG THAO DIEN, QUAN 2, TP. HO CHI MINH, VIET NAM, VN",,Vietnam T3  Import
18444,2021-12-22 00:00:00,74020000,"C100 electrode copper (KT: 20 x 20 x 500mm) (uncontrollable copper, bar, solid) # & th",BROTHER INDUSTRIES VIETNAM LTD,,TAN BINH TRASER CO LTD,81,UNT,-,5493.36,Vietnam,Vietnam,O P Vietnam,81,UNT,46.49,956624,O P Vietnam,-,-,122100017657623,-,-,-,,,1154.8,"PHUC DIEN INDUSTRIAL ZONE, CAM PHUCCAM GIANG DISTRICT, HAI DUONG PROVIPHONE NO.84-320-545 879 FAX NO.84-3","Lot CN9, Tan Truong Industrial Zone, Cam Giang, Hai Duong",,Vietnam T3  Export
18445,2021-12-20 00:00:00,7402000000,COPPER ANODES,METAL CORP TRADING AG,,KALUMBILA MINERALS LIMTED,30932,KGS,-,21.188,Zambia,Tanzania,Not Available,30932,KGS,0,0,Not Available,-,-,,-,-,-,-,,0,TRADING AG,,,Tanzania T3  Import
18446,2021-12-31 00:00:00,7402000000,COPPER ANODES,METAL CORP TRADING AG,,KALUMBILA MINERALS LIMTED,30932,KGS,-,21.203,Zambia,Tanzania,Not Available,30932,KGS,0,0,Not Available,-,-,,-,-,-,-,,0,TRADING AG,,,Tanzania T3  Import
18447,2021-02-14 00:00:00,7402000000,COPPER ANODES,METAL CORP TRADING AG,,KALUMBILA MINERALS LIMTED,30932,KGS,-,21.079,Zambia,Tanzania,Not Available,30932,KGS,0,0,Not Available,-,-,,-,-,-,-,,0,TRADING AG,,,Tanzania T3  Import
18448,2021-01-20 00:00:00,7402000000,Unconditional copper; Cui- vre anodes for electrolytic refining.,SFCE92316 Sessres Cedexd 21219151OT 028 21,,SFCE92316 Sessres Cedexd 21219002OT 002 2021,0,PAC,-,168.39,France,Ivory Coast,Not Available,8,PAC,-,-,Le Havre,-,-,-,-,-,-,-,,8,,,,IvoryCoast T3  Import
18449,2021-08-28 00:00:00,7402000000,COPPER ANODE,MCC NON FERROUS TRADING LTD,,KONKOLA COPPER MINES PLC,16684,KGS,-,20.891,Zambia,Tanzania,Not Available,16684,KGS,0,0,Not Available,-,-,,-,-,-,-,,0,,"KCM NCHANGA PLANT,NCHANGA SMELTER, PRIVATE BAG (C)2000, HARRISON ROAD, KITWE, ZAMBIA.",,Tanzania T3  Import
18450,2021-10-21 00:00:00,740200000012,**ANODE**,zmir Marine Management Shipping Vetur Tic A,,INDUSTRIAL MARINE SUPPLIES LTD,60,UNT,-,13208.87,United Kingdom,Turkey,Izmir,60,UNT,-,-,Not Available,-,-,21350700IM025974,-,-,-,-,Copper anodes for electrolytic refined,0,,,,Turkey T3  Import
18451,2021-12-28 00:00:00,740200000011,Other peninsula,Teksan Generator Elekt San Tic A Kocaeli Serb B l m,,Teksan Generator Electric INDUSTRY AND TRADE INCORPORATED COMPANY,260,UNT,-,1557.92,Turkey,,Not Available,260,UNT,-,-,Izmit,-,-,21410100EX00033316,-,-,-,-,Blister Copper,0,,,,Turkey T3  Export
18452,2021-02-23 00:00:00,740200000012,Copper anode,DURDEN PLASTIC PRODUCT,,COMPANIA QuIMICO IND ESPANOL SA,10002.8,KGS,-,91528.56,France,Turkey,Erenkoy,10002.8,KGS,-,-,Not Available,-,-,21341200IM037762,-,-,-,-,Copper anodes for electrolytic refined,0,,,,Turkey T3  Import
18453,2021-03-15 00:00:00,740200000019,050034 copper anode,Lapex Industrial Products Industry and Trade Joint Stock Company,,HEIMANN GRAPHISCHE TECHNIK UND HANDEL,20,UNT,-,1027.88,Germany,Turkey,Izmir,20,UNT,-,-,Not Available,-,-,21350300IM026139,-,-,-,-,Others,0,,,,Turkey T3  Import
18454,2021-09-30 00:00:00,740200,INGOTS COPPER ANODES ,AURUBIS AG,AURUBIS AG,TRAXYS EUROPE SA,146,NOS,-,0,Mexico,United States,Houston,146,PCS,-,-,Mexico,-,-,,-,0,-,NO MARKS ,,79581,HOVESTRASSE 550|HAMBURG D-20539|DE,9-21 ROUTE DARLON L-8009 STRASSEN|LUXEMBOURG ATTN CRISTINA MEDRANO|TEL +34 91 378 9735|VAT LU 13238340,HOVESTRASSE 550|HAMBURG D-20539|DE,USA T3+  Import
18455,2021-04-30 00:00:00,7402000000,COPPER ANODES,NET GLOBAL,NET GLOBAL LLC,LUVATA PORI OY,34,PKG,-,0,Belgium,United States,Boston,34,PKG,-,-,Belgium,-,-,DMALHELA23346,-,0,-,C-STOCK DELIVERY NET GLOBAL PO 9190 CHELS EA MADE IN FINLAND ,,32497,17923 S SANTA FE AVE,"SPECIAL PRODUCT PORI, P.O. BOX 60,FI-28101, PORI,PORI,. FINLAND 0",88 BLACK FALCON AVE UNITED STATES 0,USA T3+  Import
18456,2021-08-31 00:00:00,7402000000,"BOXES WITH 159 , 840 UNITS OF 300 END TOPS EACH ONE",MUSSON INTERNATIONAL DAIRIES LIMI,MUSSON INTERNATIONAL DAIRIES LIMI,PISOS Y TECHADOS TORGINOL SAS,16,BOX,-,0,Dominican Republic,United States,Puerto Rico,16,BOX,-,-,Dominican republic,-,-,,-,0,-,TLI 0000 04 1701 NO MARKS ,,50878,3 FELIX FOX BOULEVARD KINGSTON|JAMAICA KINGSTON JAMAICA,118897 TAX ID 101016312|AVE ROMULO BETANCOURT|ESQ. ISABEL AGUIAR|ZONA INDUSTRIAL DE HERRERA,3 FELIX FOX BOULEVARD KINGSTON|JAMAICA KINGSTON JAMAICA,USA T3+  Import
18457,2021-12-07 00:00:00,7402000000,ANODE WRAP FABRIC - 000109125,TECHNIPFMC GHANA LIMITED,,FLEXI FRANCE S A S,3.45,KGS,-,67.06,France,Ghana,Not Available,3.45,KGS,-,-,Not Available,-,-,,-,-,-,-,,3.45,,,,Ghana T3  Import
18458,2021-12-07 00:00:00,7402000000,ANODE HOLDER - 12302075,TECHNIPFMC GHANA LIMITED,,FLEXI FRANCE S A S,3.45,KGS,-,1233.04,France,Ghana,Not Available,3.45,KGS,-,-,Not Available,-,-,,-,-,-,-,,3.45,,,,Ghana T3  Import
18459,2021-12-27 00:00:00,7402003000,NOT AVAILABLE,CORP DE CIENCIA Y TEC PARA EL DES DE LA IND NAVAL MARIT Y FL,,CORROSION AND WATER CONTROL,34.99,KGS,-,9131.74,United Kingdom,Colombia,Not Available,34.99,KGS,-,-,Not Available,-,-,-,-,-,-,-,COPPER ANODES FOR ELECTROLYTIC REFINING,34.99,ZN INDUSTRIAL DE MAMONAL KM 9,,,Columbia T3+  Import
18460,2021-12-15 00:00:00,74020000,SCU100500D2I COPPER ANODE SP CU100500D2 INCL. ISU CHIP SET 4 SET COMPLETED,M S ESA ENGINEERS,,CORROSION WATER CONTROL MARITIME BV,4,Kgs,-,5309.072,European Union,Pakistan,Not Available,4,KGS,1332.628,-,Not Available,-,-,-,-,-,-,-,,0,OFFICE NO 102 103 PLOT FIRST FLOOR IMRAN CENTRE ZAMZAMA COMMERCIAL LAN,,,Pakistan T3  Import
18461,2021-12-28 00:00:00,740200,SPENT AUTO CATALYST CERAMIC ,FCC LOGISTICS INC,FCC LOGISTICS INC,PENANSHIN SHIPPING PTE LTD 19 KEPPEL RD 03 05 JIT POH BDLG SINGAPORE 089058 Tel 2212,715,PKG,-,0,Singapore,United States,Los Angeles,715,PKG,-,-,Singapore,-,-,,-,0,-,"L.EAGLE PO#EAGLENG49398 PO#EAGLENGR48490 L.GLORY PO#GLRYSTWD48479 L.GRACE PO#GRCEDECK49465 PO#GRCEENG49767 MT RED SUN HOUSTON PKG 1 OF PACKAGE TECHEMET LLP TEXAS 77507 USA NO PKGS : 1/ - 2/2 JAKARTA/ MARKING SAYARDAW EINDASARA 598 LARPENTUER VE SAINT PAUL, MN.55117 USA. TEL:651 236 071 734 3032 DESTINATION: MINNEAPOLIS PORT APE EVENT LLC MR.MACIEJ LOJEWSKI P/O P/N Q'TY C/NO: MADE SWS SPORTS BOARDS INDUSTRIES STYLE ORD FABRICART/ COLOR: SIZE: QUANTITY: ",,12432,"9843 KLINGERMAN ST, RANCHO DOMINGUE|Z, CA CA 90220 US",992/ Fax -3721243 Attn - Email - Web -,"9843 KLINGERMAN ST, RANCHO DOMINGUE|Z, CA CA 90220 US",USA T3+  Import
18462,2021-09-09 00:00:00,74020000,"Polar Pole Pole Electroplating Bronze, Code B-98-Cup, Code 77070, 01PC - Box, 100% New",JCU VIETNAM CORPORATION,,JCU CORPORATION,4,NOS,-,240.498140497028,Japan,Vietnam,O P Vietnam,4,PCE,6600,0,Yokohama,-,-,010921010BA02446,-,-,-,-,,2661,"Lot N2-1, Dong Van Industrial Zone II, Bach Thuong Commune, Duy Tien District, Ha Nam Province, Vietnam","8-1 TIXTOWER UENO, HIGASHIUENO 4-CHOME, TAITOH-KU 16F",,Vietnam T3  Import
18463,2021-09-21 00:00:00,74020000,"VC-CKB141-4X4 # & yet refined (ingots, 20cm long), for production, 100% new",VULCAN,,VISTARON GROUP LTD,2000,KGS,-,22166.6,Taiwan,Vietnam,O P Vietnam,2000,KGS,11.083,0,Taichung,-,-,1509212HCC8YC0243099,-,-,-,-,,9600,"=IFERROR(__xludf.DUMMYFUNCTION(""GOOGLETRANSLATE(A99123,""""vi"""",""""en"""")""),""Lot N3-N7, Duong D3-D4, Nam Tan Uyen Industrial Park, Khanh Binh Ward, Tan Uyen Town, Binh Duong"")","NO.7, LANE 356 SES.2, CHANG- NAN ROAD., FUNGYUAN COUNTRY, CHANGHUA- HSIEN, TAIWAN (R.O.C), TW",,Vietnam T3  Import
18464,2021-09-13 00:00:00,74020000,"Copper anodes for electrolysis - cu-anode bar 100W * 600L * 20T (100% new) - Checked goods at Account: 102745718461 - A12 (July 9, 2019)",HW VINA CO LTD,,HYUNDAI WELDING CO LTD,1000,NOS,-,120050,South Korea,Vietnam,O P Vietnam,1000,PCE,120.05,0,O P Vietnam,-,-,010921SNKO010210811645-02,-,-,-,-,,21000,"7-D2 Saigon Pearl, 92 Nguyen Huu Canh, Ward 22, Binh Thanh District ,, Ho Chi Minh City","90-5 JANGHEUNG-DONG, NAM-GU,, POHANG-SI, GYEONGBUK, KOREA, KR",,Vietnam T3  Import
18465,2021-10-29 00:00:00,74020000,"C100 electrode copper (KT: 25 x 25 x 500mm) (uncontrollable copper, bar, solid)",BIVN,,CONG TY TNHH THUONG MAI VA DICH VU TANG MINH PHAT,3,UNT,-,216.33,Thailand,Vietnam,O P Vietnam,3,UNT,72.11,0,O P Vietnam,-,-,112100016072872,-,-,-,-,,858.3,"Lot CN9, IPs Thach - Quoc Oai, Phung Xa Commune, Thach That District, Ha Noi","119 QUOC HUONG, PHUONG THAO DIEN, QUAN 2, TP. HO CHI MINH, VIET NAM, VN",,Vietnam T3  Import
18466,2021-10-08 00:00:00,74020000,"Ocean electrodes with copper use anti-ha on drilling platforms, P - N: KB-MG-700. New 100%",HATASI TECHNICAL TRADING INDUSTRY SERVICES CO LTD,,CATHODIC MARINE ENGINEERING PTE LTD,1,NOS,-,2000,North Korea,Vietnam,O P Vietnam,1,PCE,2000,0,Incheon,-,-,CNT015045,-,-,-,-,,127,Nguyen Gia Thieu 58/29/38 - Ward 12 - City of Vung Tau - Ba Ria - Vung Tau,"10, SCIENCE PARK ROAD, THE ALPHA",,Vietnam T3  Import
18467,2021-10-09 00:00:00,74020000,"COPPERATION C1100 (KT: 20 x 50 x 500mm) (uncontrollable copper, bar, solid)",BIVN,,CONG TY TNHH THUONG MAI VA DICH VU TANG MINH PHAT,5,UNT,-,537.2,Thailand,Vietnam,O P Vietnam,5,UNT,107.44,0,O P Vietnam,-,-,112100015615609,-,-,-,-,,1367.18,"Lot CN9, IPs Thach - Quoc Oai, Phung Xa Commune, Thach That District, Ha Noi","119 QUOC HUONG, PHUONG THAO DIEN, QUAN 2, TP. HO CHI MINH, VIET NAM, VN",,Vietnam T3  Import
18468,2021-10-09 00:00:00,74020000,"COXY COX C1100 (KT: 20 x 55 x 500mm) (uncontrollable copper, bar, solid)",BIVN,,CONG TY TNHH THUONG MAI VA DICH VU TANG MINH PHAT,5,UNT,-,569.8,Thailand,Vietnam,O P Vietnam,5,UNT,113.96,0,O P Vietnam,-,-,112100015615609,-,-,-,-,,1367.18,"Lot CN9, IPs Thach - Quoc Oai, Phung Xa Commune, Thach That District, Ha Noi","119 QUOC HUONG, PHUONG THAO DIEN, QUAN 2, TP. HO CHI MINH, VIET NAM, VN",,Vietnam T3  Import
18469,2021-10-09 00:00:00,74020000,"COPPERATION C1100 (KT: 20 x 65 x 500mm) (uncontrollable copper, bar, solid)",BIVN,,CONG TY TNHH THUONG MAI VA DICH VU TANG MINH PHAT,5,UNT,-,809.5,Thailand,Vietnam,O P Vietnam,5,UNT,161.9,0,O P Vietnam,-,-,112100015615609,-,-,-,-,,1367.18,"Lot CN9, IPs Thach - Quoc Oai, Phung Xa Commune, Thach That District, Ha Noi","119 QUOC HUONG, PHUONG THAO DIEN, QUAN 2, TP. HO CHI MINH, VIET NAM, VN",,Vietnam T3  Import
18470,2021-08-09 00:00:00,74020000,"Copper anodes for electrolysis - cu-anode bar 100W * 600L * 20T (100% new) - Checked goods at Account: 102745718461 - A12 (July 9, 2019)",HW VINA CO LTD,,HYUNDAI WELDING CO LTD,1000,NOS,-,120050,South Korea,Vietnam,O P Vietnam,1000,PCE,120.05,0,O P Vietnam,-,-,310721SNKO010210713203,-,-,-,-,,14760,"7-D2 Saigon Pearl, 92 Nguyen Huu Canh, Ward 22, Binh Thanh District ,, Ho Chi Minh City","90-5 JANGHEUNG-DONG, NAM-GU,, POHANG-SI, GYEONGBUK, KOREA, KR",,Vietnam T3  Import
18471,2021-08-10 00:00:00,74020000,MCP - anode of copper wire - Brass Anode Rod -% 30x150 - A795158,YKK VIETNAM CO LTD,,YKK CORPORATION,1020,NOS,-,9486,Japan,Vietnam,O P Vietnam,1020,PCE,9.3,0,Toyamashinko,-,-,260721CKCOTOS0002846-02,-,-,-,-,,3377.3,"99 Nguyen Thi Minh Khai ST6TH FLOOR, OFFICE HOCHIMINH LAPENNASSET TOWERHO CHI MINH","TANIMACHI YF BLDG., 4-8-7,,TANIMACHI, CHUO-KU, BI OSAKA,OSAKA SHI CHUO KU JAPAN",,Vietnam T3  Import
18472,2021-07-12 00:00:00,74020000,"VC-CKB141-4X4 # & yet refined (ingots, 20cm long), for production, 100% new",VULCAN,,ESTIVAL CO LTD,2000,KGS,-,23333.4,Taiwan,Vietnam,O P Vietnam,2000,KGS,11.667,0,Taichung,-,-,0607212HCC8SE084B3055,-,-,-,-,,25526,"=IFERROR(__xludf.DUMMYFUNCTION(""GOOGLETRANSLATE(A99123,""""vi"""",""""en"""")""),""Lot N3-N7, Duong D3-D4, Nam Tan Uyen Industrial Park, Khanh Binh Ward, Tan Uyen Town, Binh Duong"")","RM 1013-1014,10/F., FO TAN INSDUSTRIAL CENTER, 6-28 AU PUI WAN ST.,FO TAN SHATIN, NT., HONGKONG, HK",,Vietnam T3  Import
18473,2021-07-27 00:00:00,74020000,"CONTENT COX C1100 (KT: 20 x 55 x 500mm) (unblasting copper, bar, solid)",BIVN,,CONG TY TNHH THUONG MAI VA DICH VU TANG MINH PHAT,5,UNT,-,569.8,Thailand,Vietnam,O P Vietnam,5,UNT,113.96,0,O P Vietnam,-,-,112100014109415,-,-,-,-,,1567.35,"Lot CN9, IPs Thach - Quoc Oai, Phung Xa Commune, Thach That District, Ha Noi","119 QUOC HUONG, PHUONG THAO DIEN, QUAN 2, TP. HO CHI MINH, VIET NAM, VN",,Vietnam T3  Import
18474,2021-08-30 00:00:00,74020000000,HULLCELL ANODE   (4 PCS)  ,ROHM ELECTRONICS PHILIPPINES INC,,SHIMIZU TOKENZAI CO LTD,1.06,UNT,-,134.8,Japan,Philippines,Ninoy Aquino International Airport,1.06,KGS,-,-,Not Available,-,-,146015411044,-,-,-,-,,1.2,"BLK 3&5 PEOPLES AVENUE,PEOPLES TECHNOLOGY COMPLEX,SEZ,CARMONA CAVITE 4116",,,PhilippinesComplete T3  Import
18475,2021-06-17 00:00:00,74020000000,HULL CELL,HANKYU HANSHIN LOGISTICS,,ITATSU CO LTD CH ITATSU VIETNAM COMPANY LIMITED,91.56,PKG,-,1773.1,Japan,Philippines,Not Available,91.56,KGS,-,-,Not Available,-,-,MEI1213005,-,-,-,-,,103.09,"PHILIPPINES INC. PANORAMA BLDG 5 AND 6, SOUTH SCIENCE AVE. LAGUNA, TECHNOPARK STA.ROSA","NO.553 ASAHI-CHO, ASHIKAGA-CITY, TOCHIGI-PREF. 326-0802 JAPAN, JP",,PhilippinesComplete T3  Import
